Vardas         Pavarde        ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    Egzaminas   
Vardas1        Pavarde1       7       10      10      2       6       6       6       1       3       1       6       2       8       4       6           
Vardas2        Pavarde2       7       3       1       4       2       9       8       2       3       9       3       2       5       5       7           
Vardas3        Pavarde3       5       8       9       7       1       6       3       10      8       1       9       7       10      3       4           
Vardas4        Pavarde4       6       8       10      4       9       10      10      1       8       7       4       4       1       8       7           
Vardas5        Pavarde5       6       8       9       10      6       5       4       2       2       6       5       5       6       9       8           
Vardas6        Pavarde6       3       7       3       2       3       7       8       4       3       3       6       5       10      10      8           
Vardas7        Pavarde7       1       10      1       4       4       7       5       5       3       7       10      8       8       9       1           
Vardas8        Pavarde8       1       3       6       1       1       5       1       1       2       2       4       3       6       2       1           
Vardas9        Pavarde9       9       10      9       5       2       8       5       2       1       4       4       9       1       10      1           
Vardas10       Pavarde10      6       6       9       4       10      10      4       9       1       6       5       3       1       2       10          
Vardas11       Pavarde11      2       5       5       4       3       9       3       6       6       10      1       8       2       5       10          
Vardas12       Pavarde12      9       1       4       9       8       7       2       3       4       7       9       6       5       9       2           
Vardas13       Pavarde13      4       10      4       10      8       1       4       6       6       1       6       3       4       3       9           
Vardas14       Pavarde14      8       5       10      4       8       8       6       1       6       5       6       10      9       3       3           
Vardas15       Pavarde15      3       3       1       10      1       2       7       9       1       9       4       7       9       2       7           
Vardas16       Pavarde16      2       6       6       2       10      4       8       2       2       4       3       2       5       9       3           
Vardas17       Pavarde17      10      8       7       4       5       2       7       5       9       8       10      8       5       3       3           
Vardas18       Pavarde18      9       4       3       6       1       4       6       8       2       9       2       7       6       8       8           
Vardas19       Pavarde19      2       6       2       6       6       4       10      8       5       2       3       1       2       1       8           
Vardas20       Pavarde20      5       3       10      7       2       2       10      10      6       7       8       3       7       9       3           
Vardas21       Pavarde21      6       3       2       4       4       10      3       10      8       2       3       2       10      6       10          
Vardas22       Pavarde22      8       6       4       5       2       7       8       2       1       5       2       7       1       10      1           
Vardas23       Pavarde23      4       10      10      8       5       8       5       10      3       9       7       7       4       10      9           
Vardas24       Pavarde24      5       5       5       4       8       1       7       2       4       3       3       4       6       4       4           
Vardas25       Pavarde25      4       10      3       10      10      6       6       4       2       5       4       10      10      6       1           
Vardas26       Pavarde26      8       4       1       7       2       9       1       10      10      8       3       7       4       3       4           
Vardas27       Pavarde27      7       5       3       3       6       9       2       5       4       9       9       2       2       4       10          
Vardas28       Pavarde28      3       7       6       8       10      3       10      3       9       6       5       6       7       9       4           
Vardas29       Pavarde29      5       10      1       6       9       3       3       10      6       2       5       7       1       5       9           
Vardas30       Pavarde30      3       1       8       4       6       5       9       5       10      10      2       8       10      6       8           
Vardas31       Pavarde31      8       10      9       8       7       2       7       10      9       2       5       2       5       4       5           
Vardas32       Pavarde32      10      2       7       8       7       8       6       8       7       5       1       9       4       2       4           
Vardas33       Pavarde33      8       2       4       10      10      10      2       10      1       7       2       5       5       3       9           
Vardas34       Pavarde34      2       9       1       8       6       7       7       4       2       8       10      7       10      2       1           
Vardas35       Pavarde35      5       10      10      5       4       5       10      8       9       1       5       6       7       1       8           
Vardas36       Pavarde36      7       7       3       7       3       5       8       1       2       6       6       4       10      1       8           
Vardas37       Pavarde37      4       6       9       5       5       2       1       4       9       4       5       5       3       8       9           
Vardas38       Pavarde38      6       4       4       9       9       10      8       6       7       2       10      2       6       9       1           
Vardas39       Pavarde39      4       6       4       3       9       4       2       2       8       4       2       8       4       7       10          
Vardas40       Pavarde40      7       2       10      2       4       4       6       4       6       10      4       7       8       9       9           
Vardas41       Pavarde41      3       4       9       7       2       2       1       9       4       3       7       2       3       8       8           
Vardas42       Pavarde42      2       3       4       2       4       4       2       4       2       3       8       10      7       3       9           
Vardas43       Pavarde43      3       6       5       1       9       10      7       8       3       10      3       9       10      2       9           
Vardas44       Pavarde44      5       2       10      4       5       5       9       1       7       3       2       4       8       9       10          
Vardas45       Pavarde45      4       8       10      6       9       3       2       6       8       6       7       4       10      6       9           
Vardas46       Pavarde46      8       9       5       2       6       9       5       2       7       8       7       1       3       3       8           
Vardas47       Pavarde47      1       9       3       1       8       7       2       2       9       8       3       10      4       1       2           
Vardas48       Pavarde48      8       7       1       9       3       1       1       8       9       4       3       7       1       2       9           
Vardas49       Pavarde49      6       10      10      8       8       4       6       8       3       6       8       7       10      6       10          
